Lead ID,Business Name,Category,Decision Maker,Email Address,Phone Number,Website Status,Current Website URL,Facebook Profile,Instagram Profile,Google Rating,Review Count,Street Address,City,State / Region,Postal Code,Country,Lead Score (0-100),Est. Annual Revenue,Est. Employee Count,Buying Intent Score,SWOT Top Strength,SWOT Critical Deficit,AI Recommended Pitch Hook,AI Pitch Preview,Outreach Status
LEAD-0206,Apex Construction & Design,Contractor,Chloe Smith,hello@apexconstructionlondon.co.uk,+44 20 962 6031,MISSING,None (Missing),None,https://instagram.com/apexconstruction,4.6★,84,31 Merchant's Quay,London,Greater London,EC2A 987AA,GB,82.95,$600k - $2.5M,5-12,90/100,Strong local reputation (4.6★ across 84 Google reviews).,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Apex Construction & Design vs other contractors in London,"Hi,  I was researching contractors in London and noticed that while Apex Construction & Design has a great reputation, other contractors in London is currently capturing a significant share of local G...",READY (Approved)
LEAD-0207,Companion Veterinary Hospital,Veterinary,Ciara O'Sullivan,ciara@companionveterinmanchester.co.uk,+44 161 742 5888,MISSING,None (Missing),None,https://instagram.com/companionveterin,4.7★,26,146 Commercial Road,Manchester,Greater Manchester,M5 423CD,GB,83.55,$450k - $1.3M,2-5,80/100,Strong local reputation (4.7★ across 26 Google reviews).,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Companion Veterinary Hospital vs other veterinarys in Manchester,"Hi,  I was researching veterinarys in Manchester and noticed that while Companion Veterinary Hospital has a great reputation, other veterinarys in Manchester is currently capturing a significant share...",READY (Approved)
LEAD-0208,Apex Dental Care,Dentist,Sarah Thompson,sarah@apexdentalcareedinburgh.co.uk,+44 131 480 4430,SOCIAL,https://facebook.com/apexdentalcare,https://facebook.com/apexdentalcare,https://instagram.com/apexdentalcare,4.5★,170,23 King Street,Edinburgh,Scotland,EH20 544EF,GB,99.25,$400k - $1.2M,10-25,90/100,Strong local reputation (4.5★ across 170 Google reviews).,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Apex Dental Care vs other dentists in Edinburgh,"Hi,  I was researching dentists in Edinburgh and noticed that while Apex Dental Care has a great reputation, other dentists in Edinburgh is currently capturing a significant share of local Google Sear...",READY (Approved)
LEAD-0209,QuickFlow Plumbing & Heating,Plumber,Matthew Clark,enquiries@quickflowplumbinbirmingham.co.uk,+44 121 404 7112,LIVE,https://www.quickflowplumbinbirmingham.co.uk,https://facebook.com/quickflowplumbin,https://instagram.com/quickflowplumbin,4.6★,9,136 Church Road,Birmingham,West Midlands,B1 792GH,GB,55.75,$250k - $750k,2-5,50/100,Direct phone contact established for rapid customer response.,,Quick question regarding QuickFlow Plumbing & Heating vs other plumbers in Birmingham,"Hi,  I was researching plumbers in Birmingham and noticed that while QuickFlow Plumbing & Heating has a great reputation, other plumbers in Birmingham is currently capturing a significant share of loc...",READY (Approved)
LEAD-0210,Martin's Roofing,Roofing,Ryan Martin,ryan@martinsroofingnewyork.com,+1 212 715 6015,MISSING,None (Missing),None,https://instagram.com/martinsroofing,4.4★,20,135 Bridge Street,New York,New York,10014,US,82.25,$500k - $1.5M,2-5,80/100,Direct phone contact established for rapid customer response.,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Martin's Roofing vs other roofings in New York,"Hi,  I was researching roofings in New York and noticed that while Martin's Roofing has a great reputation, other roofings in New York is currently capturing a significant share of local Google Search...",READY (Approved)
LEAD-0211,Lumina Power Solutions,Electrician,Ryan Wilson,info@luminapowersolutaustin.com,+1 512 433 4675,SOCIAL,https://facebook.com/luminapowersolut,https://facebook.com/luminapowersolut,https://instagram.com/luminapowersolut,4.8★,174,44 George's Street,Austin,Texas,78712,US,91.75,$300k - $800k,10-25,90/100,Strong local reputation (4.8★ across 174 Google reviews).,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Lumina Power Solutions vs other electricians in Austin,"Hi,  I was researching electricians in Austin and noticed that while Lumina Power Solutions has a great reputation, other electricians in Austin is currently capturing a significant share of local Goo...",READY (Approved)
LEAD-0212,Golden Leaf Kitchen & Bar,Restaurant,Hannah O'Neill,enquiries@goldenleafkitchechicago.com,+1 312 249 2771,SOCIAL,https://facebook.com/goldenleafkitche,https://facebook.com/goldenleafkitche,https://instagram.com/goldenleafkitche,4.7★,129,98 George's Street,Chicago,Illinois,60618,US,93.75,$400k - $1.5M,10-25,90/100,Strong local reputation (4.7★ across 129 Google reviews).,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Golden Leaf Kitchen & Bar vs other restaurants in Chicago,"Hi,  I was researching restaurants in Chicago and noticed that while Golden Leaf Kitchen & Bar has a great reputation, other restaurants in Chicago is currently capturing a significant share of local ...",READY (Approved)
LEAD-0213,Corner Perk Specialty Coffee,Cafe,Sean Martin,enquiries@cornerperkspeciamiami.com,+1 305 476 3247,MISSING,None (Missing),None,https://instagram.com/cornerperkspecia,4.7★,28,28 Merchant's Quay,Miami,Florida,33107,US,79.15,$200k - $600k,2-5,80/100,Strong local reputation (4.7★ across 28 Google reviews).,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Corner Perk Specialty Coffee vs other cafes in Miami,"Hi,  I was researching cafes in Miami and noticed that while Corner Perk Specialty Coffee has a great reputation, other cafes in Miami is currently capturing a significant share of local Google Search...",READY (Approved)
LEAD-0214,Elysian Salon & Spa,Salon,Daniel Martinez,hello@elysiansalonspaseattle.com,+1 206 240 9980,MISSING,None (Missing),https://facebook.com/elysiansalonspa,None,4.3★,66,23 George's Street,Seattle,Washington,98119,US,80.05,$200k - $500k,5-12,90/100,Direct phone contact established for rapid customer response.,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Elysian Salon & Spa vs other salons in Seattle,"Hi,  I was researching salons in Seattle and noticed that while Elysian Salon & Spa has a great reputation, other salons in Seattle is currently capturing a significant share of local Google Search tr...",READY (Approved)
LEAD-0215,Pulse CrossFit & Athletics,Gym,Thomas Walsh,hello@pulsecrossfitathsydney.com.au,+61 2 667 5850,MISSING,None (Missing),https://facebook.com/pulsecrossfitath,None,4.3★,17,93 Bridge Street,Sydney,New South Wales,20014,AU,76.55,$350k - $900k,2-5,80/100,Direct phone contact established for rapid customer response.,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Pulse CrossFit & Athletics vs other gyms in Sydney,"Hi,  I was researching gyms in Sydney and noticed that while Pulse CrossFit & Athletics has a great reputation, other gyms in Sydney is currently capturing a significant share of local Google Search t...",READY (Approved)
LEAD-0216,Vanguard Law Chambers,Lawyer,Conor O'Connor,contact@vanguardlawchambmelbourne.com.au,+61 3 566 8171,LIVE,https://www.vanguardlawchambmelbourne.com.au,https://facebook.com/vanguardlawchamb,https://instagram.com/vanguardlawchamb,4.5★,110,96 Bridge Street,Melbourne,Victoria,3006,AU,63.75,$600k - $2.5M,10-25,60/100,Strong local reputation (4.5★ across 110 Google reviews).,,Quick question regarding Vanguard Law Chambers vs other lawyers in Melbourne,"Hi,  I was researching lawyers in Melbourne and noticed that while Vanguard Law Chambers has a great reputation, other lawyers in Melbourne is currently capturing a significant share of local Google S...",READY (Approved)
LEAD-0217,O'Sullivan's Accountant,Accountant,Jack O'Sullivan,info@osullivansaccountoronto.ca,+1 416 335 1960,LIVE,https://www.osullivansaccountoronto.ca,https://facebook.com/osullivansaccoun,https://instagram.com/osullivansaccoun,4.7★,105,124 Commercial Road,Toronto,Ontario,M5V 6K725,CA,61.75,$400k - $1.2M,10-25,60/100,Strong local reputation (4.7★ across 105 Google reviews).,,Quick question regarding O'Sullivan's Accountant vs other accountants in Toronto,"Hi,  I was researching accountants in Toronto and noticed that while O'Sullivan's Accountant has a great reputation, other accountants in Toronto is currently capturing a significant share of local Go...",READY (Approved)
LEAD-0218,Silverstone Auto Service & Repair,Car Repair,Emma O'Sullivan,emma@silverstoneautosvancouver.ca,+1 604 651 1753,MISSING,None (Missing),https://facebook.com/silverstoneautos,https://instagram.com/silverstoneautos,4.6★,46,148 Park Avenue,Vancouver,British Columbia,V6B 22L994,CA,84.55,$350k - $850k,5-12,90/100,Strong local reputation (4.6★ across 46 Google reviews).,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Silverstone Auto Service & Repair vs other car repairs in Vancouver,"Hi,  I was researching car repairs in Vancouver and noticed that while Silverstone Auto Service & Repair has a great reputation, other car repairs in Vancouver is currently capturing a significant sha...",READY (Approved)
LEAD-0219,Wildflower Photography Collective,Photographer,Ruby Johnson,ruby@wildflowerphotogauckland.co.nz,+64 9 554 7305,MISSING,None (Missing),None,None,4.8★,66,41 Wellington Road,Auckland,Auckland,10116,NZ,78.55,$150k - $400k,5-12,80/100,Strong local reputation (4.8★ across 66 Google reviews).,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Wildflower Photography Collective vs other photographers in Auckland,"Hi,  I was researching photographers in Auckland and noticed that while Wildflower Photography Collective has a great reputation, other photographers in Auckland is currently capturing a significant s...",READY (Approved)
LEAD-0220,Crystal Hall Venue & Retreat,Event Venue,Zoe Thompson,contact@crystalhallvenuedublin.ie,+353 1 251 9305,MISSING,None (Missing),https://facebook.com/crystalhallvenue,https://instagram.com/crystalhallvenue,4.5★,66,147 Commercial Road,Dublin,Leinster,D03 X977,IE,82.05,$500k - $2.0M,5-12,90/100,Strong local reputation (4.5★ across 66 Google reviews).,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Crystal Hall Venue & Retreat vs other event venues in Dublin,"Hi,  I was researching event venues in Dublin and noticed that while Crystal Hall Venue & Retreat has a great reputation, other event venues in Dublin is currently capturing a significant share of loc...",READY (Approved)
LEAD-0221,Sweet Hearth Artisan Bakery,Bakery,Zoe Murphy,zoe@sweethearthartiscork.ie,+353 21 236 9996,MISSING,None (Missing),https://facebook.com/sweethearthartis,None,4.9★,61,131 Trinity Street,Cork,Munster,T12 0007,IE,79.25,$200k - $550k,5-12,90/100,Strong local reputation (4.9★ across 61 Google reviews).,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Sweet Hearth Artisan Bakery vs other bakerys in Cork,"Hi,  I was researching bakerys in Cork and noticed that while Sweet Hearth Artisan Bakery has a great reputation, other bakerys in Cork is currently capturing a significant share of local Google Searc...",READY (Approved)
LEAD-0222,Integrity Construction & Design,Contractor,Aoife Anderson,enquiries@integrityconstrugalway.ie,+353 91 985 8751,SOCIAL,https://facebook.com/integrityconstru,https://facebook.com/integrityconstru,https://instagram.com/integrityconstru,4.6★,220,57 High Street,Galway,Connacht,H91 0011,IE,92.75,$600k - $2.5M,10-25,90/100,Strong local reputation (4.6★ across 220 Google reviews).,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Integrity Construction & Design vs other contractors in Galway,"Hi,  I was researching contractors in Galway and noticed that while Integrity Construction & Design has a great reputation, other contractors in Galway is currently capturing a significant share of lo...",READY (Approved)
LEAD-0223,Meadow Veterinary Hospital,Veterinary,Lily Gallagher,info@meadowveterinarylimerick.ie,+353 61 368 9067,MISSING,None (Missing),None,None,4.8★,61,49 George's Street,Limerick,Munster,V94 0013,IE,72.75,$450k - $1.3M,5-12,80/100,Strong local reputation (4.8★ across 61 Google reviews).,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Meadow Veterinary Hospital vs other veterinarys in Limerick,"Hi,  I was researching veterinarys in Limerick and noticed that while Meadow Veterinary Hospital has a great reputation, other veterinarys in Limerick is currently capturing a significant share of loc...",READY (Approved)
LEAD-0224,Johnson's Dentist,Dentist,Chloe Johnson,enquiries@johnsonsdentistwaterford.ie,+353 51 326 8381,MISSING,None (Missing),https://facebook.com/johnsonsdentist,https://instagram.com/johnsonsdentist,4.5★,77,13 Trinity Street,Waterford,Munster,X91 0014,IE,84.65,$400k - $1.2M,5-12,90/100,Strong local reputation (4.5★ across 77 Google reviews).,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Johnson's Dentist vs other dentists in Waterford,"Hi,  I was researching dentists in Waterford and noticed that while Johnson's Dentist has a great reputation, other dentists in Waterford is currently capturing a significant share of local Google Sea...",READY (Approved)
LEAD-0225,Titan Plumbing Services,Plumber,Sarah Quinn,info@titanplumbingserbelfast.co.uk,+44 28 596 6273,MISSING,None (Missing),https://facebook.com/titanplumbingser,None,4.8★,60,71 Station Road,Belfast,Ulster,BT11 401AB,GB,80.75,$250k - $750k,5-12,90/100,Strong local reputation (4.8★ across 60 Google reviews).,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Titan Plumbing Services vs other plumbers in Belfast,"Hi,  I was researching plumbers in Belfast and noticed that while Titan Plumbing Services has a great reputation, other plumbers in Belfast is currently capturing a significant share of local Google S...",READY (Approved)
LEAD-0226,IronClad Roof Repairs & Cladding,Roofing,William McCarthy,enquiries@ironcladroofrepalondon.co.uk,+44 20 847 4560,MISSING,None (Missing),https://facebook.com/ironcladroofrepa,https://instagram.com/ironcladroofrepa,4.4★,84,46 Wellington Road,London,Greater London,EC18A 810AA,GB,80.95,$500k - $1.5M,5-12,90/100,Direct phone contact established for rapid customer response.,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding IronClad Roof Repairs & Cladding vs other roofings in London,"Hi,  I was researching roofings in London and noticed that while IronClad Roof Repairs & Cladding has a great reputation, other roofings in London is currently capturing a significant share of local G...",READY (Approved)
LEAD-0227,Spark Power Solutions,Electrician,Ryan Lynch,enquiries@sparkpowersolutimanchester.co.uk,+44 161 492 7920,SOCIAL,https://facebook.com/sparkpowersoluti,https://facebook.com/sparkpowersoluti,https://instagram.com/sparkpowersoluti,4.3★,209,15 Church Road,Manchester,Greater Manchester,M9 868CD,GB,88.75,$300k - $800k,10-25,90/100,Direct phone contact established for rapid customer response.,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Spark Power Solutions vs other electricians in Manchester,"Hi,  I was researching electricians in Manchester and noticed that while Spark Power Solutions has a great reputation, other electricians in Manchester is currently capturing a significant share of lo...",READY (Approved)
LEAD-0228,The Rustic Grill & Tavern,Restaurant,Hannah Jones,hello@therusticgrilltaedinburgh.co.uk,+44 131 971 9866,MISSING,None (Missing),None,https://instagram.com/therusticgrillta,4.7★,68,58 Trinity Street,Edinburgh,Scotland,EH13 343EF,GB,83.15,$400k - $1.5M,5-12,90/100,Strong local reputation (4.7★ across 68 Google reviews).,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding The Rustic Grill & Tavern vs other restaurants in Edinburgh,"Hi,  I was researching restaurants in Edinburgh and noticed that while The Rustic Grill & Tavern has a great reputation, other restaurants in Edinburgh is currently capturing a significant share of lo...",READY (Approved)
LEAD-0229,Corner Perk Espresso Bar,Cafe,Olivia Byrne,olivia@cornerperkespresbirmingham.co.uk,+44 121 901 6122,LIVE,https://www.cornerperkespresbirmingham.co.uk,https://facebook.com/cornerperkespres,https://instagram.com/cornerperkespres,4.7★,188,52 Commercial Road,Birmingham,West Midlands,B8 748GH,GB,65.25,$200k - $600k,10-25,60/100,Strong local reputation (4.7★ across 188 Google reviews).,,Quick question regarding Corner Perk Espresso Bar vs other cafes in Birmingham,"Hi,  I was researching cafes in Birmingham and noticed that while Corner Perk Espresso Bar has a great reputation, other cafes in Birmingham is currently capturing a significant share of local Google ...",READY (Approved)
LEAD-0230,The Cut Beauty & Hair Lounge,Salon,Ella O'Neill,hello@thecutbeautyhairnewyork.com,+1 212 501 8353,MISSING,None (Missing),https://facebook.com/thecutbeautyhair,https://instagram.com/thecutbeautyhair,4.4★,74,97 Main Street,New York,New York,10014,US,80.45,$200k - $500k,5-12,90/100,Direct phone contact established for rapid customer response.,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding The Cut Beauty & Hair Lounge vs other salons in New York,"Hi,  I was researching salons in New York and noticed that while The Cut Beauty & Hair Lounge has a great reputation, other salons in New York is currently capturing a significant share of local Googl...",READY (Approved)
LEAD-0231,O'Connor's Gym,Gym,Hannah O'Connor,hello@oconnorsgymaustin.com,+1 512 240 3518,BROKEN,http://www.oconnorsgymaustin.com,https://facebook.com/oconnorsgym,https://instagram.com/oconnorsgym,4.3★,99,78 Merchant's Quay,Austin,Texas,78719,US,87.75,$350k - $900k,5-12,60/100,Direct phone contact established for rapid customer response.,,Quick question regarding O'Connor's Gym vs other gyms in Austin,"Hi,  I was researching gyms in Austin and noticed that while O'Connor's Gym has a great reputation, other gyms in Austin is currently capturing a significant share of local Google Search traffic due t...",READY (Approved)
LEAD-0232,Vanguard Legal Associates,Lawyer,Mia Anderson,enquiries@vanguardlegalasschicago.com,+1 312 363 7814,MISSING,None (Missing),https://facebook.com/vanguardlegalass,https://instagram.com/vanguardlegalass,4.6★,82,85 Broad Street,Chicago,Illinois,60610,US,84.85,$600k - $2.5M,5-12,90/100,Strong local reputation (4.6★ across 82 Google reviews).,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Vanguard Legal Associates vs other lawyers in Chicago,"Hi,  I was researching lawyers in Chicago and noticed that while Vanguard Legal Associates has a great reputation, other lawyers in Chicago is currently capturing a significant share of local Google S...",READY (Approved)
LEAD-0233,Sterling Chartered Accountants,Accountant,Sean Williams,hello@sterlingcharteremiami.com,+1 305 857 4994,LIVE,https://www.sterlingcharteremiami.com,https://facebook.com/sterlingchartere,https://instagram.com/sterlingchartere,4.4★,193,30 Station Road,Miami,Florida,33109,US,58.75,$400k - $1.2M,10-25,60/100,Direct phone contact established for rapid customer response.,,Quick question regarding Sterling Chartered Accountants vs other accountants in Miami,"Hi,  I was researching accountants in Miami and noticed that while Sterling Chartered Accountants has a great reputation, other accountants in Miami is currently capturing a significant share of local...",READY (Approved)
LEAD-0234,FleetFix Auto Care Center,Car Repair,Elena McCarthy,elena@fleetfixautocareseattle.com,+1 206 244 5856,BROKEN,http://www.fleetfixautocareseattle.com,https://facebook.com/fleetfixautocare,https://instagram.com/fleetfixautocare,4.6★,9,25 Market Square,Seattle,Washington,98118,US,89.25,$350k - $850k,2-5,50/100,Direct phone contact established for rapid customer response.,,Quick question regarding FleetFix Auto Care Center vs other car repairs in Seattle,"Hi,  I was researching car repairs in Seattle and noticed that while FleetFix Auto Care Center has a great reputation, other car repairs in Seattle is currently capturing a significant share of local ...",READY (Approved)
LEAD-0235,Iris & Co Photography Collective,Photographer,Oliver Lee,enquiries@iriscophotographsydney.com.au,+61 2 919 8130,SOCIAL,https://facebook.com/iriscophotograph,https://facebook.com/iriscophotograph,None,4.2★,26,118 Bridge Street,Sydney,New South Wales,2002,AU,86.05,$150k - $400k,2-5,80/100,Direct phone contact established for rapid customer response.,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Iris & Co Photography Collective vs other photographers in Sydney,"Hi,  I was researching photographers in Sydney and noticed that while Iris & Co Photography Collective has a great reputation, other photographers in Sydney is currently capturing a significant share ...",READY (Approved)
LEAD-0236,Heritage Banqueting Hall,Event Venue,Lily Walsh,contact@heritagebanquetimelbourne.com.au,+61 3 617 7357,MISSING,None (Missing),https://facebook.com/heritagebanqueti,https://instagram.com/heritagebanqueti,4.7★,8,2 Grand Parade,Melbourne,Victoria,30024,AU,78.75,$500k - $2.0M,2-5,80/100,Direct phone contact established for rapid customer response.,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Heritage Banqueting Hall vs other event venues in Melbourne,"Hi,  I was researching event venues in Melbourne and noticed that while Heritage Banqueting Hall has a great reputation, other event venues in Melbourne is currently capturing a significant share of l...",READY (Approved)
LEAD-0237,Honey & Rye Pastry Studio,Bakery,Thomas Johnson,enquiries@honeyryepastrysttoronto.ca,+1 416 288 5612,SOCIAL,https://facebook.com/honeyryepastryst,https://facebook.com/honeyryepastryst,https://instagram.com/honeyryepastryst,4.7★,42,122 Market Square,Toronto,Ontario,M5V 18K325,CA,82.85,$200k - $550k,5-12,90/100,Strong local reputation (4.7★ across 42 Google reviews).,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Honey & Rye Pastry Studio vs other bakerys in Toronto,"Hi,  I was researching bakerys in Toronto and noticed that while Honey & Rye Pastry Studio has a great reputation, other bakerys in Toronto is currently capturing a significant share of local Google S...",READY (Approved)
LEAD-0238,Harris's Contractor,Contractor,Samuel Harris,contact@harrisscontractovancouver.ca,+1 604 211 3316,MISSING,None (Missing),https://facebook.com/harrisscontracto,https://instagram.com/harrisscontracto,4.3★,47,79 Church Road,Vancouver,British Columbia,V6B 24L859,CA,78.15,$600k - $2.5M,5-12,90/100,Direct phone contact established for rapid customer response.,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Harris's Contractor vs other contractors in Vancouver,"Hi,  I was researching contractors in Vancouver and noticed that while Harris's Contractor has a great reputation, other contractors in Vancouver is currently capturing a significant share of local Go...",READY (Approved)
LEAD-0239,Apex Animal Clinic,Veterinary,Thomas Jones,hello@apexanimalclinicauckland.co.nz,+64 9 831 5140,MISSING,None (Missing),https://facebook.com/apexanimalclinic,None,4.4★,12,141 Commercial Road,Auckland,Auckland,10121,NZ,74.75,$450k - $1.3M,2-5,80/100,Direct phone contact established for rapid customer response.,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Apex Animal Clinic vs other veterinarys in Auckland,"Hi,  I was researching veterinarys in Auckland and noticed that while Apex Animal Clinic has a great reputation, other veterinarys in Auckland is currently capturing a significant share of local Googl...",READY (Approved)
LEAD-0240,Grand Dental Studio,Dentist,Fiona Wilson,contact@granddentalstudidublin.ie,+353 1 565 3100,SOCIAL,https://facebook.com/granddentalstudi,https://facebook.com/granddentalstudi,https://instagram.com/granddentalstudi,4.6★,92,50 Bridge Street,Dublin,Leinster,D16 X561,IE,94.35,$400k - $1.2M,5-12,90/100,Strong local reputation (4.6★ across 92 Google reviews).,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Grand Dental Studio vs other dentists in Dublin,"Hi,  I was researching dentists in Dublin and noticed that while Grand Dental Studio has a great reputation, other dentists in Dublin is currently capturing a significant share of local Google Search ...",READY (Approved)
LEAD-0241,BlueLine Emergency Plumbing,Plumber,Ella Jones,contact@bluelineemergenccork.ie,+353 21 638 3762,MISSING,None (Missing),https://facebook.com/bluelineemergenc,https://instagram.com/bluelineemergenc,4.8★,45,93 King Street,Cork,Munster,T12 0022,IE,79.95,$250k - $750k,5-12,90/100,Strong local reputation (4.8★ across 45 Google reviews).,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding BlueLine Emergency Plumbing vs other plumbers in Cork,"Hi,  I was researching plumbers in Cork and noticed that while BlueLine Emergency Plumbing has a great reputation, other plumbers in Cork is currently capturing a significant share of local Google Sea...",READY (Approved)
LEAD-0242,TrueGuard Roofing Contractors,Roofing,Ryan Martin,hello@trueguardroofinggalway.ie,+353 91 861 2343,SOCIAL,https://facebook.com/trueguardroofing,https://facebook.com/trueguardroofing,None,4.2★,236,68 Grand Parade,Galway,Connacht,H91 0024,IE,90.75,$500k - $1.5M,10-25,90/100,Direct phone contact established for rapid customer response.,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding TrueGuard Roofing Contractors vs other roofings in Galway,"Hi,  I was researching roofings in Galway and noticed that while TrueGuard Roofing Contractors has a great reputation, other roofings in Galway is currently capturing a significant share of local Goog...",READY (Approved)
LEAD-0243,SafeWatt Power Solutions,Electrician,Liam Quinn,enquiries@safewattpowersollimerick.ie,+353 61 417 1600,MISSING,None (Missing),https://facebook.com/safewattpowersol,None,4.7★,78,94 Station Road,Limerick,Munster,V94 0008,IE,81.65,$300k - $800k,5-12,90/100,Strong local reputation (4.7★ across 78 Google reviews).,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding SafeWatt Power Solutions vs other electricians in Limerick,"Hi,  I was researching electricians in Limerick and noticed that while SafeWatt Power Solutions has a great reputation, other electricians in Limerick is currently capturing a significant share of loc...",READY (Approved)
LEAD-0244,Gourmet Kitchen & Bar,Restaurant,Emily McCarthy,emily@gourmetkitchenbawaterford.ie,+353 51 572 9227,MISSING,None (Missing),https://facebook.com/gourmetkitchenba,None,4.6★,25,132 King Street,Waterford,Munster,X91 0015,IE,85.45,$400k - $1.5M,2-5,80/100,Strong local reputation (4.6★ across 25 Google reviews).,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Gourmet Kitchen & Bar vs other restaurants in Waterford,"Hi,  I was researching restaurants in Waterford and noticed that while Gourmet Kitchen & Bar has a great reputation, other restaurants in Waterford is currently capturing a significant share of local ...",READY (Approved)
LEAD-0245,O'Sullivan's Cafe,Cafe,James O'Sullivan,hello@osullivanscafebelfast.co.uk,+44 28 979 8989,MISSING,None (Missing),https://facebook.com/osullivanscafe,https://instagram.com/osullivanscafe,4.2★,8,93 Station Road,Belfast,Ulster,BT16 565AB,GB,74.75,$200k - $600k,2-5,80/100,Direct phone contact established for rapid customer response.,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding O'Sullivan's Cafe vs other cafes in Belfast,"Hi,  I was researching cafes in Belfast and noticed that while O'Sullivan's Cafe has a great reputation, other cafes in Belfast is currently capturing a significant share of local Google Search traffi...",READY (Approved)
LEAD-0246,Chic Studio Salon & Spa,Salon,Fiona Gallagher,enquiries@chicstudiosalonslondon.co.uk,+44 20 757 3848,MISSING,None (Missing),https://facebook.com/chicstudiosalons,https://instagram.com/chicstudiosalons,4.4★,54,65 Station Road,London,Greater London,EC8A 628AA,GB,79.45,$200k - $500k,5-12,90/100,Direct phone contact established for rapid customer response.,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Chic Studio Salon & Spa vs other salons in London,"Hi,  I was researching salons in London and noticed that while Chic Studio Salon & Spa has a great reputation, other salons in London is currently capturing a significant share of local Google Search ...",READY (Approved)
LEAD-0247,Elevation Fitness Club,Gym,Zoe O'Sullivan,enquiries@elevationfitnessmanchester.co.uk,+44 161 342 8207,MISSING,None (Missing),https://facebook.com/elevationfitness,None,4.8★,56,93 George's Street,Manchester,Greater Manchester,M22 335CD,GB,81.55,$350k - $900k,5-12,90/100,Strong local reputation (4.8★ across 56 Google reviews).,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Elevation Fitness Club vs other gyms in Manchester,"Hi,  I was researching gyms in Manchester and noticed that while Elevation Fitness Club has a great reputation, other gyms in Manchester is currently capturing a significant share of local Google Sear...",READY (Approved)
LEAD-0248,Kensington Law Chambers,Lawyer,Matthew O'Sullivan,enquiries@kensingtonlawchaedinburgh.co.uk,+44 131 365 7732,MISSING,None (Missing),https://facebook.com/kensingtonlawcha,https://instagram.com/kensingtonlawcha,4.8★,36,11 King Street,Edinburgh,Scotland,EH2 270EF,GB,82.55,$600k - $2.5M,5-12,90/100,Strong local reputation (4.8★ across 36 Google reviews).,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Kensington Law Chambers vs other lawyers in Edinburgh,"Hi,  I was researching lawyers in Edinburgh and noticed that while Kensington Law Chambers has a great reputation, other lawyers in Edinburgh is currently capturing a significant share of local Google...",READY (Approved)
LEAD-0249,Charter Accounting & Advisory,Accountant,Grace Brennan,contact@charteraccountinbirmingham.co.uk,+44 121 287 4548,MISSING,None (Missing),None,None,4.4★,68,37 Market Square,Birmingham,West Midlands,B20 775GH,GB,71.15,$400k - $1.2M,5-12,80/100,Direct phone contact established for rapid customer response.,Zero owned website presence—relies entirely on word of mouth or social.,Quick question regarding Charter Accounting & Advisory vs other accountants in Birmingham,"Hi,  I was researching accountants in Birmingham and noticed that while Charter Accounting & Advisory has a great reputation, other accountants in Birmingham is currently capturing a significant share...",READY (Approved)
